Zeile;Bonus;Cost
K    ;6    ;2
W1   ;6    ;1
W2   ;6    ;1
W3   ;6    ;1
W4   ;6    ;1
K    ;7    ;5
W1   ;7    ;1
W2   ;7    ;1
W3   ;7    ;2
W4   ;7    ;2
K    ;8    ;10
W1   ;8    ;1
W2   ;8    ;2
W3   ;8    ;2
W4   ;8    ;2
B    ;9    ;1
C    ;9    ;1
D    ;9    ;1
E    ;9    ;2
F    ;9    ;2
G    ;9    ;2
H    ;9    ;5
I    ;9    ;5
K    ;9    ;10
W1   ;9    ;2
W2   ;9    ;2
W3   ;9    ;5
W4   ;9    ;5
B    ;10   ;1
C    ;10   ;1
D    ;10   ;1
E    ;10   ;2
F    ;10   ;5
G    ;10   ;5
H    ;10   ;5
I    ;10   ;10
K    ;10   ;20
W1   ;10   ;2
W2   ;10   ;5
W3   ;10   ;5
W4   ;10   ;10
B    ;11   ;1
C    ;11   ;1
D    ;11   ;2
E    ;11   ;5
F    ;11   ;5
G    ;11   ;5
H    ;11   ;10
I    ;11   ;20
K    ;11   ;20
W1   ;11   ;5
W2   ;11   ;10
W3   ;11   ;10
W4   ;11   ;20
B    ;12   ;2
C    ;12   ;1
D    ;12   ;2
E    ;12   ;5
F    ;12   ;10
G    ;12   ;10
H    ;12   ;10
I    ;12   ;20
K    ;12   ;30
W1   ;12   ;10
W2   ;12   ;20
W3   ;12   ;20
W4   ;12   ;50
A    ;13   ;1
B    ;13   ;20
C    ;13   ;20
D    ;13   ;50
E    ;13   ;10
F    ;13   ;10
G    ;13   ;10
H    ;13   ;20
I    ;13   ;30
K    ;13   ;50
W1   ;13   ;20
W2   ;13   ;50
W3   ;13   ;50
W4   ;13   ;100
A    ;14   ;2
B    ;14   ;2
C    ;14   ;2
D    ;14   ;10
E    ;14   ;10
F    ;14   ;20
G    ;14   ;20
H    ;14   ;20
I    ;14   ;50
K    ;14   ;50
W1   ;14   ;50
W2   ;14   ;50
W3   ;14   ;100
W4   ;14   ;150
A    ;15   ;5
B    ;15   ;5
C    ;15   ;5
D    ;15   ;10
E    ;15   ;20
F    ;15   ;20
G    ;15   ;20
H    ;15   ;50
I    ;15   ;80
K    ;15   ;100
W1   ;15   ;100
W2   ;15   ;100
W3   ;15   ;150
W4   ;15   ;200
A    ;16   ;10
B    ;16   ;5
C    ;16   ;10
D    ;16   ;20
E    ;16   ;20
F    ;16   ;20
G    ;16   ;50
H    ;16   ;50
I    ;16   ;80
K    ;16   ;100
W1   ;16   ;150
W2   ;16   ;150
W3   ;16   ;300
W4   ;16   ;300
A    ;17   ;10
B    ;17   ;10
C    ;17   ;10
D    ;17   ;20
E    ;17   ;50
F    ;17   ;50
G    ;17   ;50
H    ;17   ;100
I    ;17   ;100
K    ;17   ;150
W1   ;17   ;150
W2   ;17   ;150
W3   ;17   ;300
W4   ;17   ;300
A    ;18   ;20
B    ;18   ;10
C    ;18   ;20
D    ;18   ;50
E    ;18   ;50
F    ;18   ;50
G    ;18   ;50
H    ;18   ;100
I    ;18   ;100
K    ;18   ;200
W1   ;18   ;150
W2   ;18   ;200
W3   ;18   ;300
W4   ;18   ;400
